"Date","Product","Category","Quantity","Price"
2021-01-01,"Laptop","Electronics",1,154
2021-01-02,"Laptop","Electronics",5,187
2021-01-03,"Laptop","Electronics",1,511
2021-01-04,"Laptop","Electronics",9,536
2021-01-05,"Laptop","Electronics",10,763
2021-01-06,"Laptop","Electronics",4,804
2021-01-07,"Laptop","Electronics",2,927
2021-01-08,"Laptop","Electronics",10,467
2021-01-09,"Laptop","Electronics",1,363
2021-01-10,"Laptop","Electronics",8,805
2021-01-11,"Laptop","Electronics",7,231
2021-01-12,"Laptop","Electronics",4,664
2021-01-13,"Laptop","Electronics",9,699
2021-01-14,"Laptop","Electronics",5,881
2021-01-15,"Laptop","Electronics",4,478
2021-01-16,"Laptop","Electronics",10,861
2021-01-17,"Laptop","Electronics",2,881
2021-01-18,"Laptop","Electronics",3,398
2021-01-19,"Laptop","Electronics",9,104
2021-01-20,"Laptop","Electronics",9,698
2021-01-21,"Laptop","Electronics",4,783
2021-01-22,"Laptop","Electronics",5,294
2021-01-23,"Laptop","Electronics",5,210
2021-01-24,"Laptop","Electronics",4,516
2021-01-25,"Laptop","Electronics",2,502
2021-01-26,"Laptop","Electronics",8,359
2021-01-27,"Laptop","Electronics",3,555
2021-01-28,"Laptop","Electronics",10,602
2021-01-29,"Laptop","Electronics",1,482
2021-01-30,"Laptop","Electronics",10,897
2021-01-31,"Laptop","Electronics",8,250
2021-02-01,"Laptop","Electronics",6,209
2021-02-02,"Laptop","Electronics",10,701
2021-02-03,"Laptop","Electronics",8,616
2021-02-04,"Laptop","Electronics",4,930
2021-02-05,"Laptop","Electronics",4,216
2021-02-06,"Laptop","Electronics",6,98
2021-02-07,"Laptop","Electronics",2,943
2021-02-08,"Laptop","Electronics",5,803
2021-02-09,"Laptop","Electronics",4,675
2021-02-10,"Laptop","Electronics",2,400
2021-02-11,"Laptop","Electronics",8,175
2021-02-12,"Laptop","Electronics",2,830
2021-02-13,"Laptop","Electronics",3,772
2021-02-14,"Laptop","Electronics",8,91
2021-02-15,"Laptop","Electronics",7,506
2021-02-16,"Laptop","Electronics",1,195
2021-02-17,"Laptop","Electronics",5,236
2021-02-18,"Laptop","Electronics",10,687
2021-02-19,"Laptop","Electronics",2,186
2021-02-20,"Laptop","Electronics",6,194
2021-02-21,"Laptop","Electronics",6,279
2021-02-22,"Laptop","Electronics",2,173
2021-02-23,"Laptop","Electronics",4,697
2021-02-24,"Laptop","Electronics",3,860
2021-02-25,"Laptop","Electronics",6,457
2021-02-26,"Laptop","Electronics",5,783
2021-02-27,"Laptop","Electronics",2,927
2021-02-28,"Laptop","Electronics",7,569
2021-03-01,"Laptop","Electronics",6,668
2021-03-02,"Laptop","Electronics",10,786
2021-03-03,"Laptop","Electronics",10,577
2021-03-04,"Laptop","Electronics",8,615
2021-03-05,"Laptop","Electronics",5,900
2021-03-06,"Laptop","Electronics",1,567
2021-03-07,"Laptop","Electronics",1,94
2021-03-08,"Laptop","Electronics",7,119
2021-03-09,"Laptop","Electronics",4,185
2021-03-10,"Laptop","Electronics",10,410
